□ 평균 분양가격,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013년,2014년,,,,,,,,,,,,2015년,,,,,,,,,,,(단위: 천원/3.3㎡)
시도,시군구,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,전월비,전년말비,전년동월비
서울특별시,,"18,189","17,925","17,925","18,016","18,098","19,446","18,867","18,742","19,274","19,404","19,759","20,242","20,269","20,670","20,670","19,415","18,842","18,367","18,374","18,152","18,443","17,969",-474 ,"-2,300 ","-1,434 "
,부산광역시,"8,111","8,111","9,078","8,965","9,402","9,501","9,453","9,457","9,411","9,258","9,110","9,208","9,208","9,204","9,235","9,279","9,327","9,345","9,515","9,559","9,581","9,608",1 ,430 ,477 
,대구광역시,"8,080","8,080","8,077","8,101","8,267","8,274","8,360","8,360","8,370","8,449","8,403","8,439","8,253","8,327","8,416","8,441","8,446","8,568","8,542","8,542","8,795","8,863",27 ,400 ,350 
,인천광역시,"10,204","10,204","10,408","10,408","10,000","9,844","10,058","9,974","9,973","9,973","10,016","10,020","10,020","10,017","9,876","9,876","9,938","10,551","10,443","10,443","10,449","10,450",-162 ,-150 ,-131 
,광주광역시,"6,098","7,326","7,611","7,346","7,346","7,523","7,659","7,612","7,622","7,802","7,707","7,752","7,748","7,752","7,756","7,861","7,914","7,877","7,881","8,089","8,231","8,083",-148 ,334 ,281 
,대전광역시,"8,321","8,321","8,321","8,341","8,341","8,341","8,333","8,333","8,333","8,048","8,038","8,067","8,067","8,067","8,067","8,067","8,145","8,272","8,079","8,079","8,079","7,917",68 ,610 ,414 
,울산광역시,"8,090","8,090","8,090","8,153","8,153","8,153","8,153","8,153","8,493","8,493","8,627","8,891","8,891","8,526","8,526","8,629","9,380","9,192","9,190","9,190","9,215","9,215",0 ,324 ,722 
경기도,,"10,855","10,855","10,791","10,784","10,876","10,646","10,266","10,124","10,134","10,501","10,397","10,356","10,379","10,391","10,355","10,469","10,684","10,685","10,573","10,518","10,573","10,341",-232 ,-38 ,-160 
세종특별자치시,,"7,601","7,600","7,532","7,814","7,908","7,934","8,067","8,067","8,141","8,282","8,527","8,592","8,560","8,560","8,560","8,555","8,546","8,546","8,671","8,669","8,695","8,715",20 ,155 ,434 
,강원도,"6,230","6,230","6,230","6,141","6,373","6,350","6,350","6,268","6,268","6,419","6,631","6,365","6,365","6,348","6,350","6,182","6,924","6,846","6,986","7,019","7,008","7,121",113 ,756 ,702 
,충청북도,"6,589","6,589","6,611","6,625","6,678","6,598","6,587","6,586","6,586","6,584","6,529","6,724","6,743","6,749","6,747","6,783","6,790","6,805","6,682","6,601","6,603","6,606",3 ,-137 ,22 
,충청남도,"6,365","6,365","6,379","6,287","6,552","6,591","6,644","6,805","6,914","6,882","6,831","6,940","6,989","6,976","6,980","7,161","7,017","6,975","6,939","6,935","6,942","6,939",-3 ,-50 ,57 
,전라북도,"6,282","6,281","5,946","5,966","6,277","6,306","6,351","6,319","6,436","6,719","6,581","6,583","6,583","6,583","6,583","6,542","6,551","6,556","6,601","6,750","6,580","6,885",304 ,301 ,165 
,전라남도,"5,678","5,678","5,678","5,696","5,736","5,656","5,609","5,780","5,685","5,804","5,753","5,768","5,784","5,784","5,833","5,825","5,940","6,050","6,243","6,286","6,289","6,245",-43 ,461 ,441 
,경상북도,"6,168","6,168","6,234","6,317","6,412","6,409","6,554","6,556","6,563","6,577","6,778","6,881","6,989","6,992","6,953","6,997","7,006","6,966","6,887","7,035","7,037","7,029",-9 ,39 ,451 
,경상남도,"6,473","6,485","6,502","6,610","6,599","6,610","6,615","6,613","6,606","6,767","6,881","7,125","7,332","7,592","7,588","7,668","7,683","7,717","7,715","7,723","7,665","7,947",282 ,615 ,"1,179 "
,제주특별자치도,"7,674","7,900","7,900","7,900","7,900","7,900","7,914","7,914","7,914","7,833","7,724","7,724","7,739","7,739","7,739","7,826","7,285","7,285","7,343","7,343","7,343","7,379",36 ,-360 ,-453 

